"rep","excess_a","excess_c","closer_a","closer_c"
55,0.0296137309025205,-0.00677002684531109,0.5,0.583333333333333
56,-0.00267645566334033,-0.00287142406451326,0.583333333333333,0.583333333333333
57,-0.00711458597478805,-0.0200381871713122,0.583333333333333,0.833333333333333
58,-0.0222501553668723,-0.0378639951221143,0.75,0.666666666666667
59,-0.0248718091748694,-0.0193871454377497,0.75,0.75
60,0.00162982383294469,-0.0213367911514558,0.583333333333333,0.666666666666667
61,0.015692387348214,-0.0177378476959388,0.5,0.833333333333333
62,0.0218812779169307,-0.00969505616458726,0.416666666666667,0.666666666666667
63,0.00834634537909579,-0.0215457486708602,0.416666666666667,0.5
64,0.0170439390019423,-0.0092394859118904,0.666666666666667,0.75
65,0.0297907263453362,-0.0280619210266712,0.333333333333333,0.75
66,0.0156644425819368,-0.0193493054581165,0.416666666666667,0.75
67,0.00444820624780388,-0.0260098008845017,0.666666666666667,0.75
68,-0.0474026812038203,-0.087256267935448,0.5,0.833333333333333
69,0.000833127019843824,-0.0111609794232877,0.583333333333333,0.583333333333333
70,-0.0100789777343992,-0.00236355774804527,0.666666666666667,0.583333333333333
71,0.0157738601979424,-0.00964807731066901,0.416666666666667,0.75
72,-0.00266282904802857,-0.0289021863391708,0.416666666666667,0.583333333333333
73,-0.0112580108367124,-0.0340389596554696,0.75,0.75
74,-0.00238666349434541,-0.00201734615777129,0.416666666666667,0.583333333333333
75,0.0510774545123661,-0.0101496067089744,0.166666666666667,0.666666666666667
76,0.00431233062257039,-0.045985915789461,0.583333333333333,0.75
77,0.0317827954454951,-0.00892901587980006,0.333333333333333,0.75
78,0.0173051802861034,-0.0350368113754581,0.166666666666667,0.833333333333333
79,0.0251081710930957,0.00207897221205501,0.5,0.416666666666667
80,0.0382743339586303,0.00111265743883657,0.25,0.333333333333333
81,-0.012582375436069,-0.018391411128009,0.583333333333333,0.666666666666667
82,0.00718067451800894,-0.0129261904422014,0.416666666666667,0.666666666666667
83,0.0119020626879179,-0.00200469784973537,0.416666666666667,0.5
84,-0.000544672693778621,0.00290681582525812,0.416666666666667,0.333333333333333
85,0.00366269553825852,-0.0104470990013241,0.5,0.583333333333333
86,0.0252763124620568,-0.0180724958156615,0.416666666666667,0.75
87,0.0194507155828168,0.0444626381593703,0.416666666666667,0.0833333333333333
88,-0.00760543014993935,-0.0361652555361099,0.416666666666667,0.75
89,-0.0156433338128596,-0.00908439378913782,0.416666666666667,0.5
90,0.0233739641129583,-0.0178291264536029,0.5,0.666666666666667
91,0.00521961422922411,-0.00632276037323781,0.5,0.75
92,0.0076701506773261,-0.0119254428095229,0.5,0.5
93,0.00764255216345275,-0.0135000983556343,0.666666666666667,0.666666666666667
94,0.00960778137825843,-0.00756955560874758,0.333333333333333,0.666666666666667
95,-0.0153634209496904,-0.0231978173611916,0.416666666666667,0.5
96,0.0321654920808045,-0.00973542724316706,0.666666666666667,0.583333333333333
97,0.0048042274926872,-0.0176957799486117,0.5,0.416666666666667
98,0.116169912775906,0.00221607106389803,0.25,0.333333333333333
99,0.0294413028229374,-0.00771874167376156,0.333333333333333,0.5
100,0.0425070711296962,-0.0357703153693612,0.416666666666667,0.916666666666667
