"rep","beta1_hat","beta1_sd","mean_unw","mean_inf","fixed_mean","sd_delta_hat"
23,0.718243947586817,0.0536930228421394,0.7,0.626143368896715,0.733493884864237,0.451437055128245
24,0.713437571290126,0.0560547173067692,0.7,0.603361962568866,0.732351510567555,0.481101147092287
25,0.645028964274086,0.0527348202230652,0.7,0.580041519686057,0.656449391904542,0.404015504432959
26,0.861950888346611,0.0546465466148289,0.7,0.617775512630539,0.890921516846057,0.479714153848589
27,0.676764122540072,0.0521271467689321,0.7,0.618460821125295,0.697102095045355,0.43760092445545
28,0.741969812235844,0.0545193022325573,0.7,0.677745875940035,0.751322721861057,0.375037614591282
29,0.664863590275567,0.0515109536599477,0.7,0.625908538345094,0.685238123282176,0.312886418381738
30,0.772790428801966,0.0540993667148343,0.7,0.598992679354487,0.792814497184012,0.448987705771879
31,0.775159657236118,0.0570220512020604,0.7,0.555650406807924,0.758131465763839,0.561898364085821
32,0.649749570315417,0.0486229045529493,0.7,0.681644935978911,0.664084451919136,0.199840167263276
33,0.794668459910751,0.0585715783995911,0.7,0.629430138889946,0.808895869876417,0.50318569532348
34,0.611344990685648,0.053545023874344,0.7,0.601281483876789,0.629259492158002,0.483242884364219
35,0.706098006783604,0.0537747346025015,0.7,0.586470702370899,0.715686885890139,0.523374092016515
36,0.674846795245977,0.0524676733806274,0.7,0.556037861157499,0.67875560840258,0.507898499072142
37,0.590758636907391,0.0486607070550277,0.7,0.595888442086921,0.611588093111224,0.339654070427314
38,0.697212724110199,0.0536487564821053,0.7,0.633002494591838,0.715029980427273,0.399992846547768
39,0.615111288861474,0.0505359934106468,0.7,0.59506218387946,0.62175360662005,0.494190816204789
40,0.648359840046078,0.0491955759828797,0.7,0.630535646150333,0.661227463833553,0.302910440054734
41,0.685101767826344,0.0527953104004049,0.7,0.579086957419606,0.689934795399106,0.644714562594303
42,0.760368139408528,0.0532434998347279,0.7,0.565303905188039,0.779731285903455,0.475580142747189
43,0.611399910985963,0.0500071591707588,0.7,0.610867716051094,0.641321637367835,0.305590933862145
44,0.685269873170993,0.0518082250236881,0.7,0.61613170442069,0.691557228317744,0.443583844439168
45,0.796389872322116,0.0533362681674686,0.7,0.652036544037404,0.815721300343018,0.404173255780493
46,0.709700173661953,0.0546793643989754,0.7,0.67164909252279,0.712483184257938,0.38610582587303
47,0.817000904945953,0.058386689201336,0.7,0.584753286959125,0.832270491496437,0.54799415869249
48,0.747125847408918,0.0534325498529085,0.7,0.61620805319241,0.764540236354513,0.402752686015677
49,0.705639656017122,0.0530471733641481,0.7,0.603363452189505,0.727780077354808,0.368485871168871
50,0.727939329440924,0.0540401509970848,0.7,0.589290147989068,0.748593683758395,0.429367289618721
51,0.721413731605102,0.0610403163143566,0.7,0.539472007446624,0.724386636545293,0.643733581163864
52,0.787975302340805,0.0556963852559352,0.7,0.604844305758766,0.808859547874808,0.557767857504704
53,0.671339022361833,0.054918938714743,0.7,0.552670383157739,0.683771011702809,0.630747110424068
54,0.726012935307904,0.0546921697783682,0.7,0.597099635049506,0.725848511180799,0.522801726190236
55,0.681627181718002,0.05254729781921,0.7,0.617722723904495,0.683739951499537,0.469965335572435
56,0.696867716567303,0.0543938966763088,0.7,0.566567638995193,0.716704910798946,0.531482266775261
57,0.727760780684883,0.0562095399227816,0.7,0.600468086751223,0.744314401543506,0.551226474156138
58,0.651179180631645,0.0505924011201464,0.7,0.60341731455077,0.667314789754248,0.344213301506575
59,0.703077710316675,0.0491582404380211,0.7,0.667942704457254,0.718116247290025,0.114034145093279
60,0.780432928963045,0.0525311036647079,0.7,0.630900357966175,0.811829754850219,0.295376340766818
61,0.697139862220937,0.0526392422032315,0.7,0.595530338040775,0.715583897134616,0.474481118736289
62,0.687624800296529,0.0536922128857936,0.7,0.605041055049995,0.700672770426775,0.542806826574085
63,0.610854593647986,0.0510117699733805,0.7,0.629378638789929,0.633711936673375,0.390339022545303
