"rep","species","truth","dist","beta1_hat","beta1_lo","beta1_hi","beta1_true","cov_marg","cov_joint","width_marg","width_joint","terc"
99,6,-0.594642416325836,0.0946424163258364,0.79501208835562,0.657887276644304,0.932351560450871,0.7,1,1,0.815745436838172,0.810548199896278,"near mean"
99,7,-0.543002559167177,0.043002559167177,0.79501208835562,0.657887276644304,0.932351560450871,0.7,1,1,0.815306257875038,0.796846377553504,"near mean"
99,8,-1.3308005875751,0.830800587575096,0.79501208835562,0.657887276644304,0.932351560450871,0.7,1,1,0.807324448542327,0.882380652873875,"far from mean"
99,9,0.161826511071034,0.661826511071034,0.79501208835562,0.657887276644304,0.932351560450871,0.7,1,1,0.794585037336509,0.748472316862107,"middle"
99,10,0.401215454654564,0.901215454654564,0.79501208835562,0.657887276644304,0.932351560450871,0.7,1,1,0.80369671556129,0.732053743975297,"far from mean"
99,11,0.37767131021433,0.87767131021433,0.79501208835562,0.657887276644304,0.932351560450871,0.7,1,1,0.805402283620293,0.743466053834876,"far from mean"
99,12,-1.23442012200092,0.734420122000915,0.79501208835562,0.657887276644304,0.932351560450871,0.7,1,1,0.87244504852536,0.831695547012126,"middle"
100,1,-1.85464756468913,1.35464756468913,0.701870458195602,0.562934626635287,0.841005821419719,0.7,1,1,1.06604141004615,1.07143927991405,"far from mean"
100,2,-1.40872007854605,0.90872007854605,0.701870458195602,0.562934626635287,0.841005821419719,0.7,1,1,0.883667251465323,0.841634729522569,"far from mean"
100,3,0.377833664075128,0.877833664075128,0.701870458195602,0.562934626635287,0.841005821419719,0.7,1,1,0.842168570887671,0.836454167284738,"far from mean"
100,4,-1.06744285483864,0.567442854838644,0.701870458195602,0.562934626635287,0.841005821419719,0.7,1,1,0.833393065776105,0.793908306961122,"middle"
100,5,-0.785021703582069,0.285021703582069,0.701870458195602,0.562934626635287,0.841005821419719,0.7,1,1,0.86105415040922,0.864811435272948,"near mean"
100,6,1.46241462009284,1.96241462009284,0.701870458195602,0.562934626635287,0.841005821419719,0.7,0,0,0.884833181462299,0.924674614965656,"far from mean"
100,7,-1.40895742116568,0.908957421165678,0.701870458195602,0.562934626635287,0.841005821419719,0.7,0,0,0.853343816298065,0.817232720478512,"far from mean"
100,8,1.04450465801597,1.54450465801597,0.701870458195602,0.562934626635287,0.841005821419719,0.7,1,1,0.889371794026649,0.920901085630669,"far from mean"
100,9,-0.10689041556811,0.39310958443189,0.701870458195602,0.562934626635287,0.841005821419719,0.7,1,0,0.840408809178886,0.858996739462709,"middle"
100,10,0.489083554356132,0.989083554356132,0.701870458195602,0.562934626635287,0.841005821419719,0.7,1,1,0.871914027697463,0.841620502776494,"far from mean"
100,11,-2.13998901968617,1.63998901968617,0.701870458195602,0.562934626635287,0.841005821419719,0.7,1,1,1.01311331860594,0.962837848053328,"far from mean"
100,12,-0.602167438464225,0.102167438464225,0.701870458195602,0.562934626635287,0.841005821419719,0.7,1,1,0.838086391084764,0.817385364536966,"near mean"
101,1,-1.01361551760737,0.513615517607365,0.620551549921373,0.49046579796557,0.750940115397201,0.7,0,0,0.762991287490422,0.763894411432771,"middle"
101,2,0.871259553237669,1.37125955323767,0.620551549921373,0.49046579796557,0.750940115397201,0.7,1,1,0.785018941097756,0.810495000324979,"far from mean"
101,3,0.218231411577967,0.718231411577967,0.620551549921373,0.49046579796557,0.750940115397201,0.7,1,1,0.762993010564941,0.715188100730232,"middle"
101,4,-0.787986659446027,0.287986659446027,0.620551549921373,0.49046579796557,0.750940115397201,0.7,1,1,0.745662002999959,0.779795567456189,"near mean"
101,5,-0.34137852409438,0.15862147590562,0.620551549921373,0.49046579796557,0.750940115397201,0.7,1,1,0.805679123797923,0.801367427996041,"near mean"
101,6,-0.290908187670521,0.209091812329479,0.620551549921373,0.49046579796557,0.750940115397201,0.7,1,1,0.739092868875511,0.700267028278026,"near mean"
101,7,-1.06466375086699,0.564663750866988,0.620551549921373,0.49046579796557,0.750940115397201,0.7,1,1,0.778704137014299,0.797830219645519,"middle"
101,8,-1.0071185305139,0.507118530513898,0.620551549921373,0.49046579796557,0.750940115397201,0.7,1,1,0.771397034202559,0.759054107343749,"middle"
101,9,-0.749679593179606,0.249679593179606,0.620551549921373,0.49046579796557,0.750940115397201,0.7,1,1,0.740007937866618,0.754018695296187,"near mean"
101,10,-0.725791936904303,0.225791936904303,0.620551549921373,0.49046579796557,0.750940115397201,0.7,1,1,0.783199295573238,0.723898144973209,"near mean"
101,11,-0.121484720627472,0.378515279372528,0.620551549921373,0.49046579796557,0.750940115397201,0.7,1,1,0.732232185308739,0.718660147822589,"middle"
101,12,-0.986863543905078,0.486863543905078,0.620551549921373,0.49046579796557,0.750940115397201,0.7,1,1,0.867693340665869,0.916002116309847,"middle"
102,1,1.09935651121517,1.59935651121517,0.614196687068939,0.483283006994442,0.745389273052784,0.7,1,1,0.855255832875844,0.890349408723758,"far from mean"
102,2,-0.921964319635661,0.421964319635661,0.614196687068939,0.483283006994442,0.745389273052784,0.7,1,1,0.79532227103515,0.801981333606229,"middle"
102,3,-0.450640377489971,0.0493596225100292,0.614196687068939,0.483283006994442,0.745389273052784,0.7,1,1,0.791703147706929,0.829812690407268,"near mean"
102,4,-1.05176892822664,0.551768928226636,0.614196687068939,0.483283006994442,0.745389273052784,0.7,1,1,0.843591537758246,0.846436476170846,"middle"
102,5,0.134264074616318,0.634264074616318,0.614196687068939,0.483283006994442,0.745389273052784,0.7,1,1,0.846520707278749,0.85942941486198,"middle"
102,6,0.175077133330109,0.675077133330109,0.614196687068939,0.483283006994442,0.745389273052784,0.7,1,1,0.776886701675924,0.721954161263958,"middle"
102,7,-0.830838145211384,0.330838145211384,0.614196687068939,0.483283006994442,0.745389273052784,0.7,1,1,0.860930175765371,0.837837514265715,"middle"
102,8,-1.2659195025006,0.765919502500595,0.614196687068939,0.483283006994442,0.745389273052784,0.7,0,0,0.831985929236881,0.856168125602597,"far from mean"
102,9,-0.443994933272104,0.0560050667278962,0.614196687068939,0.483283006994442,0.745389273052784,0.7,1,1,0.786660858511384,0.756899100540573,"near mean"
102,10,-1.80624712979317,1.30624712979317,0.614196687068939,0.483283006994442,0.745389273052784,0.7,1,1,0.905145610530665,0.909624597232962,"far from mean"
102,11,0.0620366293258674,0.562036629325867,0.614196687068939,0.483283006994442,0.745389273052784,0.7,1,1,0.801547949875556,0.811039406835517,"middle"
