"x","y","mean","sd","snr"
276.499999999999,4867,0.275010382986627,0.276069431256551,0.996163833622926
276.499999999999,4866.9,0.284474733535645,0.289703291102628,0.981952025649822
276.499999999999,4866.7,0.326182925916844,0.273974430758842,1.19055973586074
276.5,4866.6,0.347037022107367,0.285962619303518,1.2135747775447
276.499999999998,4869.3,0.0312928139620642,0.244146700148054,0.128172176576983
276.499999999999,4869.4,-0.0229569786002192,0.249860207481571,0.0918792905505469
276.499999999999,4869.6,-0.0593182011920992,0.230162072254881,0.25772361454241
276.499999999999,4869.7,-0.0677197899346857,0.231705878892875,0.292266170622261
276.499999999999,4869.9,-0.0655271624948383,0.230753397214351,0.283970521283242
276.499999999999,4870,-0.0684631686472125,0.243450649616369,0.28121990536931
276.499999999999,4870.2,-0.0201826107827981,0.230168809985177,0.0876861238675122
276.499999999999,4870.3,0.017462278277339,0.230838091326395,0.0756472997025785
276.499999999999,4870.5,0.04024314652319,0.235872913384358,0.170613683215136
276.499999999999,4870.6,0.0387054689201812,0.250922100718388,0.154252928735125
276.499999999998,4870.8,0.0296820502775519,0.278770310878308,0.106474933374483
276.5,4870.9,0.0179585968156369,0.2795277326603,0.06424620786182
276.499999999998,4871.1,-0.00548831010931586,0.325298735036706,0.0168715999116829
276.499999999998,4871.2,-0.00413403780310487,0.323165518286477,0.0127923233426165
275.999999999998,4866.9,0.171895798217405,0.316537538416777,0.543050277945468
275.999999999999,4867,0.193556420059834,0.30793591318549,0.628560722448902
275.999999999999,4867.2,0.224975221201615,0.290242489302214,0.7751284856414
275.999999999999,4867.3,0.240684621772564,0.29725085473087,0.809702034298537
275.999999999999,4867.5,0.271204175614977,0.27797814097532,0.975631302027648
275.999999999999,4867.6,0.28637313457128,0.279745278806791,1.02369246692119
275.999999999999,4867.8,0.325459438693204,0.274688339989159,1.18483164850044
275.999999999999,4867.9,0.343505581214224,0.255882076975742,1.34243705254428
275.999999999999,4868.1,0.379597866255747,0.248105905786674,1.52998319428209
275.999999999998,4868.2,0.396807041539716,0.253388225712948,1.56600426252339
276,4868.4,0.422658335194304,0.253759908760247,1.66558357172816
275.999999999999,4868.5,0.429595521503936,0.247172918942955,1.73803636474869
275.999999999999,4868.7,0.424393864449195,0.260946757294797,1.62636190174897
275.999999999999,4868.8,0.402676958495177,0.265460021892696,1.5169024534246
275.999999999999,4869,0.311017207765723,0.258304036295284,1.20407412995351
275.999999999998,4869.1,0.245778949015214,0.258222323658875,0.951811390791684
275.999999999999,4869.3,0.140155950556058,0.253570465986315,0.552729790557004
275.999999999998,4869.4,0.0946242914339794,0.258070365853083,0.366660817956325
275.999999999998,4869.6,0.0588655116275377,0.268940302036872,0.218879473183112
275.999999999998,4869.7,0.0522633621726614,0.252896681706654,0.20665894791488
275.999999999999,4869.9,0.0267779082843952,0.2462245261214,0.10875402506082
275.999999999998,4870,0.00119023131883326,0.254698709913613,0.00467309520035242
275.999999999999,4870.2,0.0305582420304897,0.257553890548072,0.118647953503875
275.999999999999,4870.3,0.0464382922448781,0.26457854050875,0.175517984775271
275.999999999999,4870.5,0.0596163388926974,0.278463830185694,0.214090062802563
275.999999999998,4870.6,0.066358718150698,0.270177248951009,0.245611791549224
275.999999999999,4870.8,0.076864102472313,0.282968975094587,0.271634381283743
275.999999999999,4870.9,0.0799824636863498,0.301220405005341,0.265528039791765
275.999999999999,4871.1,0.06347077161866,0.310360585383456,0.204506546925863
280.499999999999,4868.5,0.0140168361589438,0.227607332870598,0.0615834120200021
280.499999999998,4868.7,-0.0759080336201604,0.256343023571904,0.296118975903662
280.499999999999,4868.8,-0.119976956992263,0.262808295786541,0.456518910992485
280.499999999999,4869,-0.204050023486739,0.23225819086507,0.878548234302238
280.499999999999,4869.1,-0.246086556733891,0.23382793376989,1.05242582768603
280.499999999999,4869.3,-0.330159623228284,0.269678284758397,1.22427218611269
280.499999999999,4869.4,-0.344502677548201,0.254052626417089,1.35602879768153
280.499999999999,4869.6,-0.355237242074714,0.225861263161884,1.57281172123836
280.499999999999,4869.7,-0.360604524338052,0.230985669950094,1.5611553929556
280.499999999999,4869.9,-0.381917992757129,0.240091081693693,1.59072127986985
280.999999999999,4869.9,-0.32710662483215,0.259400766611439,1.26100870519835
280.999999999999,4869.7,-0.274071341425395,0.241041060212019,1.1370317620754
280.999999999998,4869.6,-0.241111501766707,0.246604045304691,0.977727277218029
280.999999999999,4869.4,-0.177760533031244,0.253005186914626,0.702596398117434
280.999999999999,4869.3,-0.141248383847978,0.23869666379273,0.591748462687481
280.999999999999,4869.1,-0.0738897835721656,0.243032784522701,0.304032164702717
280.999999999998,4869,-0.0444118699755571,0.254286348209456,0.174652985849539
280.999999999999,4868.8,0.0507266712104319,0.240992151414992,0.210490967911564
280.999999999999,4868.7,0.0920853712185034,0.244720106973213,0.376288537780768
280.999999999999,4868.5,0.134931171754997,0.255447877117245,0.528214104880061
281.499999999998,4869,0.279057867422375,0.254675456798274,1.09573914554088
281.499999999999,4869.1,0.262253076708285,0.257142813519892,1.01987324910404
281.499999999999,4869.3,0.170563612146012,0.257706324098356,0.661852644644121
281.5,4869.4,0.108942136920946,0.251772247229382,0.432701134139268
281.499999999999,4869.6,-0.0243173875195564,0.252029406531759,0.0964863102849551
281.5,4869.9,-0.193387348718128,0.284697005804859,0.679274262725062
281.5,4870,-0.237527174539697,0.272430133894897,0.871882897621506
281.499999999999,4870.2,-0.33824289420521,0.274234545415073,1.23340731450612
281.999999999999,4870.5,-0.429929788142652,0.292506655339331,1.46981198647907
282,4870.3,-0.39413703864114,0.274796770418007,1.43428555598233
281.999999999998,4870.2,-0.367009579438858,0.274918980284623,1.33497359498021
281.999999999999,4870,-0.249816689497813,0.252896246236175,0.987822845201562
281.999999999999,4869.9,-0.167151785206099,0.239328090199087,0.698421088251915
281.999999999999,4869.7,-0.00182197662175168,0.248861908953593,0.00732123541691321
281.999999999999,4869.6,0.0808429276685565,0.270675342983821,0.298671193236056
281.999999999998,4869.4,0.248012723256461,0.264627221296728,0.937215461210482
281.999999999999,4869.3,0.33334826109969,0.259688198731914,1.28364809308804
282.499999999999,4869,0.585132883756023,0.306894718420092,1.9066241568715
282.499999999999,4869.1,0.52382014074925,0.298260905440059,1.75624807406923
282.499999999999,4869.4,0.323563650791546,0.30705213647421,1.05377430200269
282.499999999998,4869.6,0.183298257994569,0.279990212327804,0.654659519954823
282.499999999998,4869.7,0.113572404688985,0.282542270372503,0.401966065251943
282.499999999999,4869.9,-0.00247153366132041,0.267969141452905,0.00922320252220076
282.499999999998,4870,-0.0590061540787977,0.275935451986516,0.213840424106436
282.499999999998,4870.2,-0.171821695428866,0.271908178664495,0.631910729102692
282.5,4870.3,-0.221153021556256,0.281635353205459,0.785245953816458
282.999999999999,4870.2,0.0260405745666877,0.316455122771458,0.0822883647407221
283.000550794671,4870.01176441537,0.14804568594585,0.323795532428798,0.457219668336236
282.999999999999,4869.9,0.224789733259582,0.32218926406861,0.697694673065557
282.999999999999,4869.7,0.370583851511371,0.314076889647924,1.17991442135966
282.999999999999,4869.6,0.441654352548004,0.325652158058819,1.35621503379761
282.999999999998,4869.4,0.563400692678276,0.342726322992955,1.64387925548939
282.999999999998,4869.3,0.598184220109529,0.336351650440505,1.77844889218208
282.999999999999,4869,0.644091396801963,0.327362577018244,1.96751688194973
282.999999999999,4868.8,0.628495852501739,0.331282023910932,1.89716255980951
280.499999999999,4868.2,0.123799574947242,0.248990422160628,0.49720617312491
280.499999999999,4868.1,0.117050373402437,0.231636809013828,0.505318536811001
280.499999999998,4867.9,0.09767069492731,0.220690155846096,0.442569332342234
280.499999999998,4867.8,0.0879808556898729,0.232434422462673,0.378519045319124
280.499999999999,4867.6,0.0701061667868889,0.274352957699487,0.255532753773626
280.499999999998,4867.5,0.0682018130255733,0.250065401018742,0.272735903278605
280.499999999999,4867.3,0.064393105502638,0.2469972847726,0.260703697864218
